lon,lat,locode
-71.3564,4.79222,CO ORC
128.938004,35.179501,
-87.9048,41.9786,US CHI
14.5114,60.957901,SE MRA
116.097857,24.263425,CN MEZ
-55.1913,5.811131,
13.9222002029419,44.89350128173828,
-8.49111,51.841301,IE ORK
71.556702,40.9846,UZ NMA
-0.621183,35.623901,DZ SEN
132.6999969482422,33.82720184326172,JP MYJ
-71.425668,41.725038,US UZO
-67.0762023926,-17.962600708,
61.895668,37.62353,TM MYP
-78.9282989502,33.6796989441,US MYR
121.805,31.1434,
2.3794444,48.7233333,FR VUI
40.181997,-10.336204,
14.50030040741,63.194400787354,SE OSD
20.76530075073243,38.92549896240234,GR VOA
113.9869995117188,4.322010040283203,
-88.55699920654297,43.98440170288086,US OSH
18.8102,45.4627,
-105.253998,20.680099,
35.378453,-1.378382,
35.521999,40.829399,TR MZH
11.1004,60.193901,
43.1474,36.305801,
127.029999,37.090599,KR PTK
-77.087545,20.288605,CU MZO
67.209702,36.706902,
-70.309303,43.646198,US PWM
-106.265999,23.1614,
18.11109924316406,49.6963005065918,
77.07389831542969,52.19499969482422,
72.793296814,40.6090011597,
2.874673,51.1998,BE OST
58.5956,51.072498,RU OSW
-16.3500003815,33.0733985901,
140.7250061035156,-36.98529815673828,AU NAC
79.047203,21.092199,IN NAG
26.085,44.571111,RO OTI
45.45840072631836,39.18880081176758,
43.63660049438477,43.51290130615234,RU NAL
-1.51242,12.3532,
-1.92399001121521,34.78720092773438,
177.4429931640625,-17.75539970397949,
14.2908,40.886002,IT NAP
25.354601,64.930099,FI OUL
-77.466202,25.039,
-12.482228,22.757345,
34.5345,38.7719,
-6.03462,43.563599,
-62.76039886474609,8.288530349731445,VE CGU
63.60191345214844,61.32662200927734,RU SOV
52.09249877929688,55.56470108032227,
37.23410034179688,19.4335994720459,SD SSD
-15.65369987487793,11.89480018615723,
10.438611,36.075833,
17.82839965820312,48.62519836425781,SK PZY
-5.86667013168,30.3202991486,
35.31570053100586,47.86700057983398,UA ZPR
36.9277992249,-1.31923997402,KE EMB
-5.615940093994141,37.17490005493164,ES EAH
-6.909430027010001,30.9391002655,MA OZZ
-75.2071,19.9065,
-79.55560302734375,8.973340034484863,PA ACO
7.215869903560001,43.6584014893,FR NCE
8.616319656369999,51.6141014099,
-1.69167,55.037498,GB NCS
-122.281998,47.9063,
6.1063889,45.9308333,FR MZT
-17.03000068664551,20.9330997467041,
-72.292503,18.58,HT PAP
123.9179992675781,47.23960113525391,
25.113195,37.020495,GR PAS
15.034,12.1337,TD NDJ
-100.185997,20.6173,
-3.0282099247,34.98880004879999,
-98.3713989258,19.1581001282,
-47.903703,-21.875401,BR SCO
5.32449007034,36.1781005859,
89.424599,27.4032,
-80.09559631347656,26.68320083618164,
-62.58990097045898,17.2056999206543,
8.093,4.8725,
-68.072998046875,10.48050022125244,
121.4619979858398,29.82670021057129,CN NBO
-55.187801,5.45283,
13.55920028686523,7.357009887695312,CM NGE
152.380005,-4.34046,
-88.583801,15.7309,GT PBR
136.8049926757812,34.8583984375,JP TXN
-23.49349975585937,14.92450046539307,
-76.289299,36.937599,US ORF
109.19666,12.227912,VN NHA
-8.03629970551,31.6068992615,MA RAK
55.3661994934,25.0268001556,
100.280998,-0.786917,
-159.806,-21.2027,CK AVA
2.18361,13.4815,NE NIM
-25.6979007721,37.7411994934,PT PDL
49.617778,37.323333,IR RAS
38.91070175170898,15.29189968109131,
-55.09429931640625,-34.85509872436523,
-81.680603,30.2358,US JAX
-6.75152,34.051498,MA SAL
167.939616,-29.041887,
12.51666736602783,48.90083312988281,DE A47
76.48359680175781,60.94929885864258,RU NJC
24.8508,42.067799,
-122.5979996,45.58869934,US PDX
44.404317,31.989853,
-15.9697222,18.31,MR NKC
15.73859977722168,50.01340103149414,
118.865949,31.735032,CN NJI
56.021198,57.914501,
12.5132,43.095901,IT ASI
-75.7395,4.81267,CO PEI
-72.926,11.5262,CO RCH
100.2770004272461,5.297140121459961,
28.664047,-12.998512,
115.9670028686523,-31.94029998779297,
34.15470123291016,61.88520050048828,
45.02109909057617,53.11059951782227,RU PEZ
-99.0145,19.7458,
31.9198,47.057899,
32.485699,34.717999,
103.004942,5.764804,MY RDN
21.213301,51.389198,PL RDM
73.469181,5.818394,
162.454108,-10.847994,
-78.7874984741211,35.87760162353516,
108.171997,22.608299,CN NIN
2.870670080184937,42.74039840698242,FR PGF
2.482670068740845,44.40790176391602,
-34.923316,-8.125984,BR REC
15.6516,38.071201,IT REG
52.737701,27.379601,
-8.81849,53.910301,IE MYO
75.2699966430664,63.18330001831055,
55.45669937133789,51.79579925537109,
103.813044,13.41155,
35.071774,42.018313,TR SIC
48.3148,-13.3121,
6.94959020614624,5.015490055084229,
118.625999451,-20.3777999878,AU PHE
166.212997,-22.014601,
1.16717,41.1474,ES RUS
86.877197,53.811401,
-75.24109649658203,39.87189865112305,
-89.097198,42.1954,US RFD
-68.155701,-38.949001,AR NQN
-112.005905,33.435302,US PHX
-4.995409965515137,50.44060134887695,
-69.3126,-51.6089,
71.466904,51.022202,KZ AST
96.1332015991,16.9073009491,MM RGN
-145.509995,-17.3526,
-82.68740082,27.91020012,
16.25060081481934,58.58629989624024,SE NRK
-4.587019,55.502003,
6.14216995239,51.6024017334,DE WZE
-76.220299,-13.7449,
28.08620071411133,36.40539932250977,GR RHO
-101.2799987792969,48.2593994140625,US MOT
0.306665986776352,46.58769989013672,FR DBR
-80.23290253,40.49150085,
-74.2306,11.1196,CO SMR
49.8158,-17.093901,
23.06889915466309,67.24559783935547,SE PJA
9.884110450744627,46.53409957885742,CH SAM
-117.867996,33.675701,
-80.127899169922,8.375880241394,
158.4539947509766,53.16790008544922,
-117.259003,33.880699,
23.9711,56.923599,
49.375,14.6626,
-8.92482,52.702,
83.98210144042969,28.20089912414551,NP PKR
-79.943603515625,22.49220085144043,CU SNU
14.57030010223389,45.21689987182617,HR OMI
34.5836982727,25.557100296,
17.159084,46.686391,
12.6117,44.020302,IT RMI
-2.322235,42.460953,ES ACO
110.750494,-7.513564,
23.41143608093262,42.69669342041016,BG NLS
79.88619995117188,6.821990013122559,
56.048979,30.298345,
120.621002,24.2647,
12.1314001083374,55.58560180664063,
7.60028,49.436901,DE RAM
167.220001221,-15.5050001144,
55.93880081176758,25.61350059509277,
-1.125,37.803,ES MJV
-21.9405994415,64.1299972534,IS REY
-1.3568,50.950298,GB EAT
15.265,56.266701,SE RNB
12.2783002853,53.9182014465,DE LGZ
-116.9700012207031,32.54109954833984,
-17.7556,28.626499,ES V3D
14.75959968566894,55.06330108642578,
-8.167099952700001,27.7003993988,DZ TIN
-119.7679977416992,39.49909973144531,US RNO
145.729004,15.119,
13.159,32.663502,
-1.73479,48.0695,FR SJL
-87.9711,17.9139,BZ SPR
-10.3623,6.23379,
16.29800033569336,43.53889846801758,
18.72330093383789,42.40470123291016,
-77.672401,43.1189,US ROC
30.89569,30.108148,
-64.7013015747,-21.5557003021,
150.475359,-23.380019,AU ROK
145.242996,14.1743,
134.544236,7.36731,
-60.785,-32.9036,
65.3243026733,57.1896018982,RU TJM
23.39500045776367,55.89390182495117,LT SQQ
176.3170013427734,-38.10919952392578,
39.924722,47.493888,
107.754997,-2.74572,
-65.149611,-19.246835,BO YAM
110.373244,-6.970732,ID SRG
69.80500030517578,37.98809814453125,
63.361,-19.7577,
5.34085,59.791901,NO SRP
105.175556,-5.240556,
-82.554398,27.395399,
151.8430023193359,7.461870193481445,
53.188761,36.644408,
-38.322498,-12.908611,BR SSA
29.6709,-4.8862,
134.606995,34.132801,
8.708720207214355,3.755270004272461,
22.2628,60.514099,FI TKU
34.395,27.977301,
-81.75520324707031,26.53619956970215,
127.112718,37.444744,KR SGM
-86.523003,16.316799,
-99.566002,19.337099,
-95.139198303223,43.387500762939,
43.7285,-23.3834,
-94.059898,45.5466,US STC
-72.035103,7.56538,
4.43722,51.956902,NL RTM
-84.350304,30.3965,US TLH
46.066666,51.566666,RU RTW
-70.60469818115234,19.40609931945801,
-90.370003,38.748697,
46.69879913330078,24.95759963989257,
24.8327999115,59.41329956049999,EE TLL
55.5103,-20.8871,
-1.45000004768,35.0167007446,
0.234999999404,51.8849983215,
9.22196006775,48.6898994446,DE FIL
6.14602994919,43.0973014832,FR HYR
-64.977251,18.337091,
1.36382,43.629101,FR BLG
72.7417984009,21.1140995026,
42.11280059814453,45.10919952392578,
-64.79859924316406,17.70190048217773,
34.88669967651367,32.01139831542969,
39.818333,47.258333,RU ROV
112.7870025634766,-7.379829883575439,
11.14610004425,64.838302612305,
16.2423,38.905399,IT SUF
25.830400466919,66.564796447754,
22.88570022583008,47.70330047607422,
-55.47620010375977,-30.97459983825684,
10.785439,59.378817,NO MSS
67.311869,37.287261,
141.048718,-26.69639,AU TXR
70.27960205078125,28.3838996887207,
49.392502,-18.109501,
22.018999,50.110001,PL TRZ
23.604401,61.414101,FI PIR
